65,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0
0,65,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,4,1,0,0
0,0,63,1,5,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,1,0,1
0,0,4,63,0,1,0,0,0,0,0,0,0,0,0,10,0,0,8,0,1,0,0,0,1,0,0
3,0,5,0,48,0,0,0,0,0,1,0,0,0,0,15,2,0,0,1,0,0,0,0,3,1,0
1,0,0,2,0,59,0,0,0,0,6,7,0,0,0,0,0,0,4,0,0,4,1,0,3,3,0
1,0,0,0,0,0,42,1,0,2,6,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,1
0,0,0,0,0,0,3,18,0,9,5,0,0,0,0,0,2,2,3,6,1,0,0,0,3,1,1
0,0,0,4,0,2,0,2,49,3,1,1,0,0,0,0,0,1,4,1,1,6,0,0,1,6,0
0,0,0,0,2,0,9,3,2,15,0,1,0,0,6,0,0,5,0,9,0,0,0,0,3,0,3
0,0,2,1,0,0,1,0,0,0,61,3,0,0,0,0,0,0,3,2,1,1,2,5,4,1,0
0,0,2,1,0,6,0,0,1,0,1,70,0,0,0,0,1,0,2,0,1,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,54,4,1,0,6,0,1,0,0,0,0,0,3,0,1
0,2,0,0,0,0,0,0,0,3,0,0,43,19,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,2,0,0,10,14,21,0,7,0,0,0,0,0,0,0,0,0,0
0,0,14,3,2,0,0,0,0,0,1,0,0,0,0,42,5,0,0,0,0,1,0,0,3,0,0
0,0,3,0,2,0,0,0,0,1,3,1,2,0,1,3,56,0,0,1,0,1,0,0,3,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,62,0,0,0,0,0,0,0,0,0
0,0,0,4,0,4,0,1,1,0,2,1,0,0,0,0,0,2,64,2,0,0,2,0,2,0,0
1,1,0,0,0,0,3,3,0,6,1,1,0,0,0,0,1,0,11,24,0,0,0,0,1,2,3
0,1,1,3,0,0,0,0,0,0,3,1,0,0,0,0,1,0,6,0,63,0,1,2,2,1,0
0,0,0,2,0,2,0,1,1,0,4,0,0,0,0,0,0,0,1,0,2,66,2,3,0,3,0
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,1,0,1,59,7,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,2,1,15,58,0,0,0
1,0,2,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,66,1,0
3,0,1,3,0,0,0,0,2,0,1,7,0,0,0,0,0,0,0,0,0,2,0,0,0,73,0
1,0,1,0,1,1,4,1,0,2,1,0,0,0,0,0,2,0,3,17,0,0,0,0,1,0,16
